calendarID,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,startDate,endDate
384,0,0,0,0,0,1,0,20231030,20250211
385,1,1,1,1,1,0,0,20231030,20250211
484,0,0,0,0,1,0,0,20240107,20250211
485,1,1,1,1,0,0,0,20240107,20250211
528,0,0,0,0,0,0,0,20240212,20250211
532,1,1,1,1,1,0,0,20240212,20250211
530,0,0,0,0,0,1,0,20240212,20250211
529,0,0,0,0,0,0,1,20240212,20250211
261,0,0,0,0,0,1,0,20230130,20250211
262,1,1,1,1,1,0,0,20230130,20250211
263,1,1,1,1,1,0,0,20230130,20250211
260,0,0,0,0,0,0,1,20230130,20250211
451,1,1,1,1,1,0,0,20240106,20240217
452,1,1,1,1,1,0,0,20240106,20240217
553,1,1,1,1,1,0,0,20240218,20250217
354,0,0,0,0,0,1,0,20230904,20250211
359,1,1,1,1,1,0,0,20230904,20250211
381,1,1,1,1,1,0,0,20231028,20250211
546,1,1,1,1,1,0,0,20240218,20240323
438,0,0,0,0,0,0,0,20240102,20250211
442,1,0,0,0,0,0,0,20240102,20250211
439,0,0,0,0,0,0,1,20240102,20250211
533,0,0,0,0,0,0,1,20240218,20240302
537,1,1,1,1,1,0,0,20240218,20240302
535,0,0,0,0,0,1,0,20240218,20240302
514,0,0,0,0,0,0,1,20240211,20240217
523,1,1,1,1,1,0,0,20240211,20240217
516,0,0,0,0,0,1,0,20240211,20240217
486,1,1,1,1,1,0,0,20240107,20250211
210,1,1,1,1,1,0,0,20221023,20250101
208,0,0,0,0,0,1,0,20221023,20250101
209,1,1,1,1,1,0,0,20221023,20250101
508,1,1,1,1,1,0,0,20240122,20250211
507,0,0,0,0,0,1,0,20240122,20250211
556,1,1,1,1,1,0,0,20240225,20250224
555,0,0,0,0,0,1,0,20240225,20250224
568,1,1,1,1,1,0,0,20240323,20250224
358,1,1,1,1,1,0,0,20230904,20250211
427,0,0,0,0,0,0,0,20231203,20250211
430,1,1,1,1,1,0,0,20231203,20250211
429,0,0,0,0,0,1,0,20231203,20250211
428,0,0,0,0,0,0,1,20231203,20250211
445,1,1,1,1,1,0,0,20240102,20250211
223,1,1,1,1,1,0,0,20221106,20240416
222,0,0,0,0,0,1,0,20221106,20240416
221,0,0,0,0,0,0,1,20221106,20240416
284,1,1,1,1,1,0,0,20230417,20240416
283,0,0,0,0,0,1,0,20230417,20240416
425,1,1,1,1,1,0,0,20231127,20250211
424,0,0,0,0,0,1,0,20231127,20250211
437,1,1,1,1,1,0,0,20231223,20250211
125,0,0,0,0,0,0,1,20211004,20240416
127,1,1,1,1,1,0,0,20211004,20240416
126,0,0,0,0,0,1,0,20211004,20240416
128,0,0,0,0,0,1,0,20211019,20250211
129,1,1,1,1,1,0,0,20211019,20250211
130,1,1,1,1,1,0,0,20211019,20250211
454,1,1,1,1,1,0,0,20240106,20240218
343,0,0,0,0,0,0,1,20230903,20250101
346,1,1,1,1,1,0,0,20230903,20250101
344,0,0,0,0,0,1,0,20230903,20250101
182,0,0,0,0,0,1,0,20220509,20250211
183,1,1,1,1,1,0,0,20220509,20250211
184,1,1,1,1,1,0,0,20220509,20250211
387,0,0,0,0,0,0,0,20231031,20250211
390,1,1,1,1,1,0,0,20231031,20250211
389,0,0,0,0,0,1,0,20231031,20250211
388,0,0,0,0,0,0,1,20231031,20250211
66,0,0,0,0,0,0,0,20201220,20250211
69,1,1,1,1,1,0,0,20201220,20250211
68,0,0,0,0,0,1,0,20201220,20250211
67,0,0,0,0,0,0,1,20201220,20250211
